"Authors","Modality","Language","ni","xi"
"Abuom et al. (2013)","Comprehension","English",22,21
"Abuom et al. (2013)","Comprehension","Swahili",22,22
"Arslan & Felser (2017)","Comprehension","German",8,4
"Arslan & Felser (2017)","Comprehension","Turkish",8,6
"Arslan et al. (2017)","Comprehension","German",24,22
"Arslan et al. (2017)","Comprehension","Turkish",44,33
"Avrutin, Lubarsky & Greene (1999)","Comprehension","English",16,12
"Baauw & Cuetos (2003)","Comprehension","Spanish",32,10
"Baauw et al. (2011)","Comprehension","Spanish",28,23
"Bos et al. (2014)","Comprehension","Russian",80,18
"Caplan et al. (2007)","Comprehension","English",84,24
"Caplan et al. (2007)","Production","English",42,29
"Caplan et al. (2015)","Comprehension","English",366,211
"Choy & Thompson (2010)","Comprehension","English",16,13
"de Roo (2003)","Production","Dutch",47,22
"DeBleser & Luzzatti (1994)","Production","Italian",4,3
"Edwards & Varlokostra (2007)","Comprehension","English",50,38
"Friederici et al. (1991)","Comprehension","Dutch",80,38
"Friederici et al. (1991)","Comprehension","French",84,18
"Friederici et al. (1991)","Comprehension","German",80,46
"Fyndanis et al. (2010)","Comprehension","Greek",6,6
"Fyndanis et al. (2010)","Production","Greek",4,4
"Garraffa (2008)","Comprehension","Italian",4,2
"Garraffa & Grillo (2008)","Production","Italian",2,2
"Gavarró (2008) ","Comprehension","Catalan",8,0
"Goral, Levy & Kastl (2010)","Production","English",1,0
"Goral, Levy & Kastl (2010)","Production","French",1,1
"Goral, Levy & Kastl (2010)","Production","Hebrew",1,0
"Grodzinsky et al. (1993)","Comprehension","English",48,20
"Hanne et al. (2016)","Comprehension","German",12,8
"Hickok & Avrutin (1995)","Comprehension","English",12,4
"Hickok & Avrutin (1996)","Comprehension","English",8,2
"Jarema & Friederici (1994)","Comprehension","French",5,5
"Juncos-Rabadan et al. (2009)","Comprehension","Galician",17,14
"Juncos-Rabadan et al. (2009)","Comprehension","Spanish",17,17
"Kljajevic & Murasugi (2010)","Comprehension","Croatian",96,30
"Kljajevic et al. (2019)","Comprehension","Spanish",70,40
"Law & Cheng (2002)","Production","Cantonese",10,9
"Luzzatti et al. (2001)","Comprehension","Italian",216,154
"Martinez-Ferreiro (2010)","Comprehension","Catalan",12,2
"Martinez-Ferreiro (2010)","Comprehension","Galician",10,2
"Martinez-Ferreiro (2010)","Comprehension","Spanish",10,2
"Martinez-Ferreiro (2010)","Production","Catalan",12,10
"Martinez-Ferreiro (2010)","Production","Galician",10,8
"Martinez-Ferreiro (2010)","Production","Spanish",10,8
"Neuhaus & Penke (2008)","Comprehension","German",36,27
"Neuhaus & Penke (2008)","Production","German",30,13
"Nyvad, Christensen & Vikner (2014)","Comprehension","Danish",48,32
"Reyes & Bastiaanse (2013)","Production","Spanish",10,9
"Rigalleau & Caplan (2004)","Comprehension","English",10,10
"Rossi (2007)","Production","Italian",28,25
"Rossi (2015)","Production","Italian",12,10
"Ruigendijk, Vasic & Avrutin (2006)","Comprehension","Dutch",24,8
"Salis & Edwards (2008)","Comprehension","English",20,12
"Sanchez-Alonso et al. (2011)","Production","Spanish",22,14
"Shankweiler et al. (2010)","Production","English",3,3
"Thompson et al. (1999)","Comprehension","English",32,23
"Van der Meulen (2004)","Comprehension","French",32,17
"Van der Meulen (2004)","Production","French",9,7
